day_index,week_bucket,week_label,line_index,reviewer,rating,sentiment,language,categories,subcategories,review_text
1,1,Week 1,100,Reactibility,5,Positive,,,,"Some really good stories! ""I’ve been hooked for awhile now. I have 5 different stories I listen to the free chapters of everyday, and will continue to."""
1,1,Week 1,107,Gigs thorough,4,Positive,,Monetization & Pricing,Too expensive / high coin cost;Subscription needed / request,"Good app ""Definitely a great app highly recommend my vampire system, but also definitely overpriced. Would be much better if they added a subscription service for unlimited episodes."""
1,1,Week 1,114,Rose20.2,5,Positive,,,,Love the mornings Love to listen to the episodes in the morning. But some seem to freeze and don’t do anything anymore. But that is very seldom so not a big problem. Love the app.
1,1,Week 1,121,phoneman1239,4,Positive,,Monetization & Pricing;Content & UX,Subscription needed / request;Ads gating / too many ads;AI voices / quality,"Phoneman1239 ""I love the stories/ narrator is ok but considering how many roles he is playing, it works. I do not like how many ads you have to watch to listen to a few segments. And the monthly rate is extortionate so I am a captive audience."""
1,1,Week 1,128,MINIKOYKA,5,Positive,,Content & UX,AI voices / quality,Very very entertaining Satisfied 1000%
1,1,Week 1,135,My darling person,5,Positive,,Content & UX,AI voices / quality,"The Duke’s masked bride ""I enjoy watching the romance story, but would love to see the episode without the aide all the way through the storyline, I used to watch the story and enjoy looking at the characters faces but now it’s aide all the time, And the characters faces never shows. Please do something to make the aides disappear please so I can watch and enjoy the story in peace please, Because I love the, The Duke’s Masked Bride that’s my favorite character person!!!"""
1,1,Week 1,142,I need glass or chroma,1,Negative,,Monetization & Pricing;Content & UX,Too expensive / high coin cost;AI voices / quality,Overpriced! stay away Heard a ad and decided to give the app a try. Listened for a while for free than i hit the pay wall. And not just any pay wall… it continues to get worse. I would spend some coin if I could continue to listen but what they are charging is ridiculous. I cant imagine how much it would cost to listen to a whole series. I have decided to bail on the story and go elsewhere. Fix your broken greedy coin system.
1,1,Week 1,149,mamabites,4,Positive,,Monetization & Pricing,Ads gating / too many ads,Pocket fm The audio is great.  But having to watch or listen to  ads stinks I like listening to the whole thing without interruption. Great stories.
1,1,Week 1,156,jozie9,5,Positive,,,,Awesome Amassing app
1,1,Week 1,163,JosFloyd,1,Negative,,,,"Issue ""There is an episode that I cannot listen too, it’s free and I even try to pay for it and I still cannot listen to it. Episode 1562."""
1,1,Week 1,170,Elesterw,1,Negative,,Content & UX,AI voices / quality,"Can’t change email ""You can’t update your email tied to the account. Instead, you need to make a new account and customer service will transfer your old progress to the new account….or at least that’s what the help articles claim. Instead you’ll make a new account and contact customer service. Then you’ll be met with a generic email promising that the account transfer will occur. It never does. You reach out a dozen times over two weeks and each time you are promised the transfer will happen the same day. It never does. All your previous progress will be lost forever."""
1,1,Week 1,177,KANGARO00,5,Positive,,,,Wish u could buy the books goated
1,1,Week 1,184,SWISSISDEAD1,5,Positive,,,,Good application Very interesting
1,1,Week 1,191,Nettie Cartel,4,Positive,,Content & UX,AI voices / quality,"Saving Nora ""I love the app. So hooked., it’s been over a year and I’m not going anywhere. The absolute only reason why I didn’t give it a five star is because I feel like each chapter should be at least 5mins long. Also they arent available within the time displayed for chapter to unlock for listening."""
1,1,Week 1,198,Naus’s 1999,2,Negative,,Content & UX,AI voices / quality,Couple different ones Supposed to get a couple of each a day of my stories never happens  would love to get them daily like I used to
1,1,Week 1,205,Rivas .S,5,Positive,,,,G Great app
1,1,Week 1,212,What?!!!!!!!!!!!,1,Negative,,Monetization & Pricing;Content & UX,Ads gating / too many ads;AI voices / quality,Ai ads Your AI generated ads are a joke!
1,1,Week 1,219,Ranked Unplayable,5,Positive,,,,"This app is top tier ""Amazing app, love using it."""
1,1,Week 1,226,2coffeecats,5,Positive,,Payments & Support,Support unresponsive,"Love the stories ""I just stumbled on this app and got addicted.  Since then, I’ve tried others but they are useless to me than Pocket FM."""
1,1,Week 1,233,Faye 51,5,Positive,,,,Saving Nora Great story can’t stop listening
1,1,Week 1,240,Aceknight757,2,Negative,,Monetization & Pricing,Subscription needed / request,Pocket fm hmmmm Great stories but not worth the money. You will spend about $100  or more to hear one story completely about. I want to know what’s going to happen in the Vampire System story but naw that’s a lot of money for one story. Deleting now
1,1,Week 1,247,yelirp,5,Positive,,,,The Alpha Bride Great story
1,1,Week 1,254,Dfhan,5,Positive,,Content & UX,AI voices / quality,Pocket FM is Super This app is fabulous.  Great audio and stories to provide the best entertainment for an active person.
1,1,Week 1,261,gatinhotarado,5,Positive,,Monetization & Pricing;Content & UX,Too expensive / high coin cost;AI voices / quality,"Amazing app ""I love this app. it has great stories and narrators while also maintaining a good amount of episodes free, this allows me to really enjoy the stories and truly get engaged before spending any money in coins, lastly it also allows you to keep watching for free as they give you 2 episodes free daily for the time I could not spend any money. The stories are great to listen to when going for walks, and doing your house duties."""
1,1,Week 1,268,Pinecone007,3,Neutral,,Content & UX,AI voices / quality,Browsing The search bar needs to be improved so you can see the categories again it’s hard to find new material when all you get I the new audios and the top ten of a category
1,1,Week 1,275,Ponderosa45,5,Positive,,Monetization & Pricing,Too expensive / high coin cost,Love the app Just wish we can get coins without or paying for coins. They to fast when we listen to our show
1,1,Week 1,282,Carmela Ciciolla,1,Negative,,,,The Duke’s masked bride Hard to watch this app
1,1,Week 1,289,MAXZYKA,5,Positive,,Monetization & Pricing;Playback & Performance,Too expensive / high coin cost;Offline / download issues,Coins You told me to download a game to receive 1000 coins of which I did that but I never received any coins from you
1,1,Week 1,296,C Lorraine B,4,Positive,,Monetization & Pricing,Ads gating / too many ads,"My Companion… ""This app has become my all-time, portable, easy-to-use companion despite the loud, annoying ads. It offers engaging drama way better-than-soap operas and tele novellas because they don’t drag. Were it not for the interruptive, loud ads, I would’ve issued five starts."""
1,1,Week 1,303,benolam,2,Negative,,Playback & Performance;Content & UX,Crashes / app not working;Offline / download issues;AI voices / quality,My vampire system If you downloaded this app specifically for this audio/slide show series then don’t do it.  E1717 is when the slide vids stop and they leave you hanging.  No spoilers here just know it’s a let down not to see images this close to the end of the story. Now the app itself has been shaky at times.  Bugs are in all apps to a certain degree. They are working on then with patches.  So just be mindful as to why you want to download this app. If the slide vids appear I will (if able) adjust my review to a more positive one.
1,1,Week 1,312,Malakai22,5,Positive,,,,The Alphas Bride That it has so many different things going on to keep you excited to see what each episode brings to you each day.
1,1,Week 1,319,agehayosh,5,Positive,,,,Me Good
1,1,Week 1,326,Joyce Clune,1,Negative,,Monetization & Pricing;Content & UX,Too expensive / high coin cost;Ads gating / too many ads;Visual vs audio expectation,Watch ads to earn coins Changed to only 10 video ads each 24 hours to earn coins. Was unlimited to earn coins until recently.
1,1,Week 1,333,J0G019,5,Positive,,,,This has actually made my life better I’ve been listening to My Vampire System every single day for over a year now. Currently just made it to episode 1000. Literally one of the best parts of my day is waking up early in the morning and taking a hot bath while listening to today’s four episodes of the book.
1,1,Week 1,340,Cillyceci,4,Positive,,Monetization & Pricing;Content & UX,Too expensive / high coin cost;AI voices / quality,iOS iOS should be getting the same benefits as android gaining coins every time you login and listen to stories streaks get it together
1,1,Week 1,347,Mommy ‘s iPads,5,Positive,,Monetization & Pricing;Content & UX,Too expensive / high coin cost;AI voices / quality,"Exciting ""I like this audio series app. I which it wasn’t so expensive so I could listen to them whenever I want , instead of waiting for the free ones ."""
1,1,Week 1,354,LifeInYukon,4,Positive,,Content & UX,AI voices / quality,Great App BUT… While I love the stories I find it very unfair that if I listen to a ton of commercials or pay for extra  chapters that you loose the free chapters for the next day. I’m listening to a book and now the next free chapters is a week out due to me buying extra chapters. (The Dukes Masked Bride) seems you’d guys would fix this.Otherwise enjoying the app.
1,1,Week 1,361,gingerv,5,Positive,,,,Listener I enjoy this app. .. The ability to hear dramatic stories keeps my interest.
1,1,Week 1,368,Orann69,5,Positive,,Content & UX,AI voices / quality,Enjoyable disconnect from reality The stories are like a mills and boon novel mixed with a reality tv show. I enjoy listening to disconnect from a busy brain day at work I find they help my brain to stop thinking and listen. Which ends up helping me relax.
1,1,Week 1,377,Thpkr,4,Positive,,,,Like I like the stories with different people speaking. Rekindled Heartache is the BEST!!
1,1,Week 1,384,crusadebeauty,5,Positive,,,,"Returns and all I have listen to ""The app is accommodating, keeps company and serves like a friend in time of boredom"" I app is awesome"
1,1,Week 1,392,James 445,5,Positive,,Monetization & Pricing;Content & UX,Too expensive / high coin cost;Subscription needed / request;Too slow unlock / few free episodes,"Jimmy I think the pocket coins are a bit expensive  much rather a premium rate $20 month say for 10 free episodes a day but if I was to pay for 1story in pocket coins  one story is over 2000 episodes that’s too ""Much money I can buy a hard cover book for far less. You need either TV a premium rate or make pocket coins s about triple the amount per dollar  15 coins per 1,99 is way to high so I slowed down not buying many"""
1,1,Week 1,400,Mbm1960,4,Positive,,Content & UX,AI voices / quality,It’s ok I don’t like where you only get 1 free reading a day.  They try to force you to spend money claiming to be free.
1,1,Week 1,407,Swa am,5,Positive,,,,Audio love I love this app and the book I’m listening to
1,1,Week 1,414,TacoLootGoblinXD,1,Negative,,Monetization & Pricing;Playback & Performance,Ads gating / too many ads;Playback jumps / episode switching,To many ads There are way to many ads and their isn’t even an option to pay to remove them and some ads are super long being a whole podcast long. Seems like lately every two chapters I am getting super long ads. And if I skip the ad it gives me another ad next chapter. I got this so I can listen to something at work or while I did house work. I can’t just stop what I am doing just to skip an ad . It’s super annoying
1,1,Week 1,421,MucinexMonster,4,Positive,,Monetization & Pricing;Content & UX;Payments & Support,Too expensive / high coin cost;AI voices / quality;Support unresponsive,expensive and needs polishing app layout is a little clunky in ways like stories using your coins without asking to continue listening. meanwhile; you can’t tell if some of the stories were made by a human or ai. also again super expensive when audible exists for so much cheaper. support human indie authors all the way though.
1,1,Week 1,430,Astridmeiring,5,Positive,,Monetization & Pricing;Playback & Performance;Content & UX,Ads gating / too many ads;Playback jumps / episode switching;Offline / download issues;AI voices / quality,Saving Nora Love the story. Just wish the ads weren’t so many and so long. At least one can listen to to the story for a lot of chapters but hate it when it takes weeks for new chapters to open up. I read The Masked Bride and had to wait months for the second series to open up. As a result I lost interest in the story and switched to another app which I could read constantly. I only read stories that have the completed story. I don’t read stories that I have to pay for. When I download an app and it asks me for my email I am scared money will get taken off my phone. I then skip the app.
1,1,Week 1,437,I’m jujusprinkle,2,Negative,,Monetization & Pricing;Playback & Performance;Payments & Support,Subscription needed / request;Offline / download issues;Support unresponsive,Subscription I have a subscription on my old Samsung phone. I thought I only needed to download the app and sign in on my new iPhone. Well that didn’t work and I wrote support and have not gotten a solution. I’m rather upset. I’m paying for something I’m not getting.
1,1,Week 1,446,Audi6000,3,Neutral,,Monetization & Pricing,Too expensive / high coin cost,Expensive Please lower the cost of coins. It’s ridiculous trying to get through the longer series.
1,1,Week 1,453,CadisEstramaRaiz,1,Negative,,Monetization & Pricing,Too expensive / high coin cost;Subscription needed / request,Money hungry Seriously love the app but this coin system it’s absolutely insane. Why can’t they do a monthly system instead of milking so much money out of people with 5-10 minute episodes that cost 13 coins per episode that’s so crazy man never seen so much  greed on an app before. Fix your charging system.
1,1,Week 1,460,Pocket FM lover,5,Positive,,Monetization & Pricing,Subscription needed / request,I’ve been using this app for a couple years now I love it and appreciate the free stories every day. I just think you guys should do a yearly subscription like I would pay $200-$300 a year easy for this app.
1,1,Week 1,467,DA's Mom,4,Positive,,Monetization & Pricing,Too expensive / high coin cost;Unauthorized charge / auto pay,"Episode Unlock issues ""I have been listening to the audios in the app for a while. I love the app however, it needs to have a feature where I have control of how many episodes I unlock. It uses my coins so quickly with the auto pay/unlock"""
1,1,Week 1,474,needs sauce,1,Negative,,Monetization & Pricing;Content & UX,Too expensive / high coin cost;Ads gating / too many ads;Misleading ads / bait-and-switch;AI voices / quality,"Stay Away Scamtastic ""They will literally piece together 30 minutes of different episodes to pull you into this junk. There is no way to actually read one story to completion without having to deal with ads(the no ad thing is a lie) ., and by the time you figure it out they’re charging new college hardcover prices per story. AI voiceovers are really bad in places."""
1,1,Week 1,481,Candibug1974,5,Positive,,,,Pocket FM Absolutely love this app! I enjoy the variety of story types. I even have  My Husband  listening to some of the books with me when we travel.
1,1,Week 1,488,NCLme,5,Positive,,Monetization & Pricing,Subscription needed / request,"Two Stories ""I only listen to two stories in this whole pocket FM only because they’ve got me… I’m hooked like you don’t even know the biggest fish at the end of the line we got Quinn with “My vampire system” and “Saving Nora” two stories meant to be crowned as number one and number two respectively with my system being number one  there’s nothing else to say about this. Listen to it yourself you won’t regret it  well done to the writers of these stories. I’m truly your biggest fan $$$I’m probably up to 1000+ dollars trying to get the next episode of both series, thank you"""
1,1,Week 1,495,shelraz,5,Positive,,Monetization & Pricing,Subscription needed / request,Shelraz I love EVERYTHING about this app!!!!
1,1,Week 1,502,Grand Marquise,5,Positive,,Monetization & Pricing,Too expensive / high coin cost;Ads gating / too many ads,Give More Coins With Packages I like this app a lot. I love the new update too on how you could rewind or fast forward 10 seconds even from the Lock Screen. My only thing is they should give more coins with the packages. These series are already SO LONG. The least yall could do is offer more coins to make us wanna buy them. It’s almost a rip off though smh. Other than that app is great! Also I love the option to watch the Ads
1,1,Week 1,509,delight12175,5,Positive,,Content & UX,AI voices / quality,Great choices I have been listening for over 2yrs now and I have had very little to no problems with the app. The stories are good. Love my drives to work and home. Love the new earn points for listening daily. Thank you for that!
1,1,Week 1,516,Pissedd offf,2,Negative,,Monetization & Pricing,Ads gating / too many ads,"Annoying ads ""I understand the need for ads, but putting it in mid sentence is ridiculous"""
1,1,Week 1,523,Crs93cobra,5,Positive,,Content & UX,AI voices / quality,"Great stories ""I seam to find myself quite entertained by quite a few titles. Something I never thought I would be into, never judge an app by its cover"""
1,1,Week 1,530,Goldenchild79,1,Negative,,Monetization & Pricing,Too expensive / high coin cost,"Absolute rip-off ""The stories are lighthearted and easy to digest. They're also optimized to evoke feel-good moments. It's just way too expensive. Not because you get much. What you'd have to pay €1,000 for here is only worth €30-50."""
1,1,Week 1,542,Fatuouz,4,Positive,,,,
1,1,Week 1,549,RiverDymond,1,Negative,,Monetization & Pricing,Too expensive / high coin cost;Subscription needed / request,"Costs way too much and greedy ""Watched the pocket fm YouTube because I got impatient, I left off on  episode 201 and made it to 271… when I went to try to buy episode 271, it only allows me to buy all the episodes in between which would cost about $83.97(tax not included). This is a 2000+ series by the way."""
1,1,Week 1,556,caldwelldeborah5,5,Positive,,,,Love it Love it ALOT
1,1,Week 1,563,Pissoffandoutofpocket,1,Negative,,Monetization & Pricing;Playback & Performance,Too expensive / high coin cost;Offline / download issues,Don’t download I got hooked on one of stories so in my haste I bought some of the in app currency so I could get my fix on the story ! But what happened next the coins didn’t show up in my account so checked my bank the money taken out but nothing in my account so I contacted pocket fm so they did a ticket system and never answered me that was nearly 6 days ago I keep messaging but nothing!! So don’t bother with this app
1,1,Week 1,572,Nico d Jesus,3,Neutral,,Monetization & Pricing,Too expensive / high coin cost;Subscription needed / request,Subscriptions I love your apps so much but I do wish that you guys would have a subscription option for monthly price so that way we could be able to listen to our stories without having to worry of interruptions
1,1,Week 1,579,Newmilena,5,Positive,,,,"Great companion ""Amazing app!  It is great to listen to stories while driving, doing chores or while working on your hobby."""
1,1,Week 1,586,TERRY JAMIE BATES,5,Positive,,,,Amazing Just peak that’s all I’m gonna say
1,1,Week 1,593,Tricky tricky tricky tricky,2,Negative,,,,Episodes The app just updated and now none of the series will play you can get to the but will just sit there with a blur where the play button is supposed to be.
1,1,Week 1,600,Adjowapay,4,Positive,,,,Can’t find the season two I really love most of stories and the audio sounds are great as well is just that I can’t seems to find the season two of all the stories that end with stay tuned for season two
1,1,Week 1,609,King and his 2 Knights,5,Positive,,Content & UX,AI voices / quality,"Very Entertaining ""Pocket FM: Audio Series is very entertaining and addictive as, as soon as you listen to an audio book or anything. You’ll immediately want to continue listening or watching non stop.  Even though sometimes they might be some issues.  But pocket fm is always the right way to go if you want something that will make you want to come back for moreOverall I rate the app 5:5 as it is amazing and I think anyone who wants to try, should try"""
1,1,Week 1,616,carhall601,5,Positive,,Content & UX,AI voices / quality,Insta millionaire I enjoy listening to my books while driving
1,1,Week 1,623,angel79 .,1,Negative,,Monetization & Pricing,Ads gating / too many ads,Weird Its just weird especially the ads
1,1,Week 1,630,Indizablo,1,Negative,,Playback & Performance;Payments & Support,Buffering / won't load;Support unresponsive,Sound Right now not getting any sound just keeps spinning no help from support . Say I am not logged in but i am. You have my money. Saving Nora and Duke
1,1,Week 1,638,Writeimg a revue,5,Positive,,Playback & Performance,Playback jumps / episode switching,"Accessible ""My favorite book is rekindled heart ake  and I like how easy it is to access the books that we are able to read, but I would love it if it had more accessible ways to skip the ad for us to listen to the books thank you"""
1,1,Week 1,645,Hot face 369,5,Positive,,Content & UX,AI voices / quality,"First time ever listening to auto books ""This app made me love auto books, I never knew I like romance books that’s had a lot of conflict. I’m a horror girl myself don’t like anything girly but these auto book make me want a dominating"" Billionaire man"
1,1,Week 1,653,Ademide Adefolarin,5,Positive,,,,Duke &the masked wife Very interesting series
1,1,Week 1,660,Bulockay,1,Negative,,Monetization & Pricing,Ads gating / too many ads,Mandatory ads This use to be a great app that I enjoyed listening to while at work but ever since the mandatory ads started I can’t enjoy any stories while driving at work. If something doesn’t change I’ll just have to uninstall this app and find something else to enjoy. The ads are beyond excessive and doesn’t automatically continue the series so you have to always go back on your phone every couple minutes to hit the x on the ad to keep it playing
1,1,Week 1,667,TFligity,5,Positive,,Monetization & Pricing;Content & UX,Too expensive / high coin cost;Subscription needed / request;Too slow unlock / few free episodes,The Royal Accident I love the book and hope that they make it into a drama movie one day.(Food For Thought) The only thing is that I wish I didn’t have to pay so much to continue reading the chapters because it takes so long to watch free episodes. I’ve spent over $80 in the last 14 hrs just to continue to listen to this book and other series on Pocket FM. I spend so much to listen to these books it’s like I’m paying a utility bill every month. My only suggestion is PLEASE MAKE PURCHASING THE COINS MORE AFFORDABLE OR EVEN HAVE MONTHLY OR EVEN WEEKLY PACKAGES FOR US TO PURCHASE SO WE CAN LISTEN TO ALL BOOKS ON THIS SITE.
1,1,Week 1,674,Natedogg 101,2,Negative,,Monetization & Pricing,Too expensive / high coin cost,Robbery I just recently started listening to pocket FM. And I was thoroughly enjoying the story that I was listening to. Which is why I gave two stars. But it seems like I’m getting less coins for the money I spend and the episodes are costing more.  Right now I’m looking ahead and the episodes are 25 coins. That’s almost 5 dollars an episode.  This is outrageous. How can anybody charge that and sleep at night?
1,1,Week 1,681,$Lovene,5,Positive,,,,"""The Duke mask, wife"" I love all of these packet FM audio stories because they feel sometime like what’s going on in life. That’s just how it is."
1,1,Week 1,688,Ipad Laptop,4,Positive,,Monetization & Pricing,Too expensive / high coin cost,App Too expensive but overall good
1,1,Week 1,695,Cinlive,5,Positive,,Monetization & Pricing;Content & UX,Too expensive / high coin cost;Subscription needed / request;AI voices / quality,Price Like the App .It can get pricey if you don’t want to wait for the free  chapters . When I first got this App they offered an option for a year subscription to have unlimited access  Loved it loved the stories but when the year was up they discontinued that option. I was disappointed that happened it really slowed my usage of  Pocket fm because of the amount off money I was spending to finish a story bring back the year subscription.
1,1,Week 1,702,Kalnazzar Wrin,5,Positive,,Content & UX,Too slow unlock / few free episodes,Needs Stability Amazing app and “My Vampire System” is my number one recommendation. But they need a fixed amount of free episodes the randomness is madness when your in the middle of series.
1,1,Week 1,710,I’m2pissrn,4,Positive,,Monetization & Pricing;Content & UX,Ads gating / too many ads;AI voices / quality,ads: I like that I can run adds to listen to a episode. However I think 24 adds is too long . I am getting frustrated now with this app. I like the idea that we wait 24 hr to get a new episode. However when the 24 hour is completed there is no new episode and the time expand. I have been waiting over 2 weeks now to continue listening to an interesting story. I need to find another app. Very disappointing
1,1,Week 1,717,Ladytye20,5,Positive,,Content & UX,AI voices / quality,"Love it ""Love these stories, have to wait for more episodes to unlock but it’s worth it to me."""
1,1,Week 1,724,Girlome77,5,Positive,,,,Drama app This is my favorite app
1,1,Week 1,731,Art2dtooo,5,Positive,,,,Amazing I love a series they have so much fun so easy to listen to
1,1,Week 1,738,Robmc76,4,Positive,,Monetization & Pricing,Ads gating / too many ads,Pocket FM Too many ads and podcasts. Ads are ok if they were less then a minute but when you have them longer then the story time or as frequently as two in within 10mins then that’s agitating. Also some (ads) are really podcasts (30mins or more long). Also it’s money hungry. If you spend you money on this app then please be aware that it’s designed to spend all of it in one go.
1,1,Week 1,745,Juicedupshay,5,Positive,,Monetization & Pricing;Content & UX,Too expensive / high coin cost;Subscription needed / request;AI voices / quality,"Make a monthly subscription and I’ll be hooked forever!! ""I truly enjoy listening to the stories on this app. I’m so happy they added a check in to receive some coins. But what I’d really love for them to do is a monthly subscription so we can listen to stories all the way through. I’ve bought coins to continue stories but it’s never enough to truly put a dent in the story. I have 3 stories in rotation that all have over 2,000 chapters and I get so sad having to wait 48hours for the next few chapters."""
1,1,Week 1,752,Sportinggoodsman,5,Positive,,,,Easy to use I find it very peaceful to fall asleep listening to a story.
1,1,Week 1,759,hipotch,5,Positive,,,,Appreciation Wish it will have a better point earning system
1,1,Week 1,766,Metanine,4,Positive,,,,Love but needs improvements Riveting stories; some could be classified as addictive... Enter at your own risk App has been improved since my last review. Good work! And the devteam is updating in a regular time frame which helps a lot.
1,1,Week 1,775,Molosse tanner,5,Positive,,Content & UX,Too slow unlock / few free episodes,Very nice Free episodes every day
1,1,Week 1,787,Timefree6669,4,Positive,,,,Storyline Weekend should be double time limit on unlocked episodes
1,1,Week 1,794,Hexe9988,1,Negative,,,,"Anonymous and tormenting music ""The developers are unable to display the names of commenters; all comments are published under """"Anonymous."""" This problem has existed for months, but nothing has been done."" ""Instead, someone decided to play annoying music in the background throughout all episodes. Listeners' protests and requests to turn the music and tinkling down are completely ignored. The music is sometimes as loud as the narration, making it difficult to follow the story. What a pity! It's like the optimistic lover who says, """"So, how was I?"""" at the end"""
1,1,Week 1,808,Aaleycia,5,Positive,,,,Vampire System The vampire system is hands down my #1 favorite audio book! I listen to it every day submerged into the series as if I was there. 10/10
1,1,Week 1,815,champepic,3,Neutral,,Monetization & Pricing;Content & UX,Subscription needed / request;AI voices / quality;Too slow unlock / few free episodes,"Cranky ""While the app itself isn’t exactly user-friendly. It isn’t overly complicated either. However, if you have a problem with a story or the app functionality , do not email them. Instead of fixing it, they will either reset your account entirely and good luck finding the stories that you had wanted to listen to And you will have to re-wait and or listen to the entirety of the stories that you are most likely 700 to 800 episodes into from scratch!!! My main problem was after you get done listening to the free episodes for the day. It will switch to another story most likely a random story And while sometimes you can find a diamond in the rough by listening to random stories you cannot get them off of your library. Once it is been listened to a story goes onto your library you cannot remove it, even by pressing the take this and or remove this from my library button as that does not work. I also had a question about why certain stories certain amounts of episodes and other stories like a completely different amount of episode per day. The length of the story or the amount of minutes in that episode do not seem to matter in how many unlock. I had one for example unlock eight episodes every 72 hours while technically getting two free episodes I asked why this happened and was reset to one episode a day after that effectively halfing the amount of episodes that I was able to listen to. In essence, the solution might be worse than the problem."""
1,1,Week 1,822,Marjer,5,Positive,,,,Rekindled Heartache I love the story line and characters. I just wish you would let us watch more than one episode a day.  Especially since when you read it first and it says it’s free.
1,1,Week 1,831,Kittykatcatkitten,5,Positive,,Playback & Performance,Crashes / app not working,Used to love I used to love this app however there was an update and now it just not working I'm going to have give up on it and delete it what a putty
1,1,Week 1,838,CBär78,3,Neutral,,Monetization & Pricing,Subscription needed / request,"unlock ""I like the content. Otherwise, I wouldn't have been a member for so long. Unfortunately, there are errors with the release of episodes. I have to release about 10 more episodes. I'd like to keep listening."""
1,1,Week 1,850,Episode one of Peter,5,Positive,,,,Super cool Super cool I was able to make jokes with my friend and make a story named Peter or if you want the full name episode one of Peter
1,1,Week 1,857,Jungle21pro,5,Positive,,Content & UX,AI voices / quality,The best I love insta billionaire
1,1,Week 1,864,Arid53,5,Positive,,,,Pocket FM Really enjoy the audio series.
1,1,Week 1,871,Briggs blessed61,5,Positive,,,,Cupids curse Great!
1,1,Week 1,878,nojoke213,5,Positive,,,,Nice Amazing
1,1,Week 1,885,animevuru,5,Positive,,,,"Great with a wish ""The app is great and I love the stories, I just wish that the older(3+years released) stories were already unlocked"""
1,1,Week 1,892,sweetangelyvette,4,Positive,,Monetization & Pricing,Too expensive / high coin cost,"My opinion ""I like the app the only thing I don’t like is when i don’t have more coins automatically start other story with out asking me if I’m interested or not, I prefer hearing adv for coins, no starting a new story"""
1,1,Week 1,899,Oma Denise,5,Positive,,Content & UX,AI voices / quality,Love the stories Great stories but the writers tend to get lost in details
1,1,Week 1,906,Mac_Chick,1,Negative,,Monetization & Pricing;Content & UX,Too expensive / high coin cost;AI voices / quality,"Rip Off ""This platform is a rip off and you should see how many complaints are on other platforms. You end up spending a fortune in whatever story you are listening to. They give you coins for listening but the coins only get you a few episodes. Check out various complaints boards. Also, their pricing policies are not clearly communicated. There are a lot of high fives, until people see how much they end up spending."""
1,1,Week 1,913,tmclilly,5,Positive,,,,Riveting audio series They have some pretty great audio series. I’ve listened to a couple and I’ve really enjoyed them.
